missing,seas,thresh
False,21.27767036773766,23.710651082928877
False,21.247717466958655,23.68085108359496
False,21.218087146817606,23.654386568057454
False,21.18868076695414,23.634715600755193
False,21.159429901172327,23.616760762446837
False,21.130550491882705,23.59885108542779
False,21.102061200775072,23.58063173099632
False,21.0740944369818,23.56252205398174
False,21.04656577857285,23.544580118898907
False,21.019284165390765,23.525212377396322
False,20.991838151608068,23.502476894033535
False,20.96395403244105,23.477702701038897
False,20.935559827086195,23.452205927415246
False,20.906747066688705,23.42654141185986
False,20.87754952002061,23.405547863942004
False,20.847789456702863,23.387805928854696
False,20.81772814039265,23.367986574458985
False,20.78701455359137,23.335496252604553
False,20.755291458237163,23.295541414787934
False,20.72295163846771,23.252483351234225
False,20.690129280719162,23.20473496520471
False,20.657729921272725,23.156786579179666
False,20.625929513203637,23.109528515719838
False,20.59475560472065,23.061580129694793
False,20.564221525602203,23.008709163134615
False,20.534702286948047,22.953393035338767
False,20.506322300023513,22.898076907542922
False,20.47922108317615,22.8398123927162
False,20.45350971789285,22.778244652156864
False,20.429438804008058,22.716309169670264
False,20.406621777947368,22.65610917101584
False,20.384857804382463,22.596786591696638
False,20.36350705394882,22.53626401240426
False,20.342442449425427,22.474805949261825
False,20.321821282197728,22.413347886119393
False,20.30158667854443,22.353438210039123
False,20.28170575834542,22.29566401778209
False,20.262582858213,22.245386599551033
False,20.243831414572764,22.199515632834395
False,20.225455870684193,22.155644666073055
False,20.206971022612514,22.11359950572252
False,20.188698562343784,22.07492208723219
False,20.17045987084707,22.038283378373706
False,20.15245844940637,22.005470475881324
False,20.13493512268528,21.97322531531174
False,20.117863231126936,21.938999509625138
False,20.101459605793774,21.901360800789014
False,20.085473646851344,21.863883382271858
False,20.06979871607223,21.83678660868397
False,20.054526344601634,21.81416080273808
False,20.03972406998359,21.7941156418958
False,20.02578911961524,21.774883384261155
False,20.012207852701177,21.75565112662651
False,19.999158888272323,21.73448338516416
False,19.986615566771835,21.71279306306833
False,19.97437260961191,21.68879951521753
False,19.962064780863642,21.666483386684074
False,19.94962898624246,21.642567258186386
False,19.936996799552446,21.62159951671957
False,19.92419665765425,21.607393065424205
False,19.91114324996592,21.59610274309592
False,19.89815737982163,21.586625323952912
False,19.885338576233625,21.582354356306443
False,19.87326979484516,21.58167693696675
False,19.861915489580426,21.588218872304402
False,19.85098951452916,21.598612420459183
False,19.840482094520528,21.608070484763907
False,19.83053185925018,21.61559306524093
False,19.820771795485392,21.61934145225392
False,19.81139474068743,21.620889839316085
False,19.802318050230035,21.62243822637825
False,19.794093576940128,21.623986613440422
False,19.78651693088181,21.625535000502584
False,19.77984582110468,21.622831774756555
False,19.773706125160867,21.612922097558698
False,19.76793788570924,21.600173710746873
False,19.762651295584806,21.58739306587125
False,19.75777437398404,21.57668984030403
False,19.753778106411414,21.566535001821332
False,19.751049945093204,21.558670485868085
False,19.74970097151632,21.553799518235024
False,19.749507245403166,21.543715647492675
False,19.749887588414307,21.529967260703202
False,19.7506820432086,21.51621887391373
False,19.751492493737004,21.505051132227862
False,19.752501113638033,21.496541454998713
False,19.754166447289606,21.49366403570819
False,19.756676000241598,21.495399519540374
False,19.760085757563413,21.499057583974736
False,19.764164669762298,21.504973712874758
False,19.768748336237653,21.511393067569983
False,19.773574604680384,21.517676938397273
False,19.77858304676163,21.52214790603928
False,19.783791435519287,21.522147906039276
False,19.78896872146062,21.51975435770568
False,19.794409048362926,21.511076938544797
False,19.80009019992882,21.498547906566777
False,19.805758910368187,21.4869091971495
False,19.811382299560897,21.47717371349614
False,19.817317605568817,21.467438229842774
False,19.8235177298415,21.45690274620729
False,19.82979605548096,21.44908984315612
False,19.83623700441724,21.441276940104945
False,19.842831690131383,21.436483391824993
False,19.84971252175578,21.44078661753526
False,19.857518440003055,21.451554359230066
False,19.866524038308835,21.465160810538848
False,19.87684928467895,21.481902745648505
False,19.888650581846967,21.500793067806917
False,19.901561805232067,21.51901242223839
False,19.915129742367707,21.536909196031914
False,19.929435260576344,21.554683389183015
False,19.944634762591537,21.578070485434466
False,19.9608730986722,21.605244678375463
False,19.978598149373497,21.635270484155946
False,19.998125386118225,21.670122096280174
False,20.019170440299927,21.70944467604641
False,20.04090419970039,21.747851126800867
False,20.063153377200056,21.783947900187588
False,20.08559094890151,21.822147899333753
False,20.10827645448171,21.86119305975135
False,20.131565354698747,21.898134994409507
False,20.155821996829637,21.934676929076602
False,20.18103127379216,21.973064024992777
False,20.207022564422445,22.01145112090895
False,20.233643020594513,22.050483378101028
False,20.26048919434796,22.090038215926583
False,20.287529982866456,22.132541440783015
False,20.315038202281812,22.179451117153857
False,20.342998745511817,22.226457567716086
False,20.371429385594368,22.273464018278307
False,20.40049718908577,22.323831759087987
False,20.430230592846662,22.375044661169095
False,20.45989823636731,22.426257563250203
False,20.48935260343312,22.474451110560086
False,20.518663008891906,22.517799496687946
False,20.547596625947136,22.558786592546006
False,20.576146345383645,22.59977368840407
False,20.604306835290068,22.637960784324715
False,20.632084316229665,22.675780138318096
False,20.65949744989224,22.715760782585743
False,20.686637767422987,22.754347878497448
False,20.713328427094776,22.793057555051575
False,20.739475231806715,22.831767231605703
False,20.76522747507719,22.870967230729512
False,20.790545167570922,22.909818842764338
False,20.815083512352583,22.943909164583005
False,20.839045122054273,22.983051099191982
False,20.86271525393434,23.02042529190499
False,20.88609301934089,23.056786581414837
False,20.909524103861155,23.090722064527288
False,20.933389739158162,23.123147870254122
False,20.95782677762377,23.15890915977738
False,20.9827579065431,23.19603819120555
False,21.007745020531825,23.231322061384635
False,21.0325570700972,23.2683091573321
False,21.057148733992573,23.30927044673913
False,21.081976779292063,23.3551672199068
False,21.107279180590613,23.39813818668826
False,21.133141446842963,23.438609153525597
False,21.159255608408614,23.477496249430597
False,21.185238299660945,23.51641237759301
False,21.21095201316965,23.552796247747516
False,21.236700796158726,23.58920915015943
False,21.262267808729153,23.62873818153395
False,21.288226337726236,23.668254309682954
False,21.314883080927636,23.70775753460644
False,21.34205244166439,23.745170436996005
False,21.36933849810595,23.78037688782198
False,21.39641483270025,23.820563983697927
False,21.423204132732405,23.86111882150113
False,21.45011784402989,23.90376398183826
False,21.47753808690762,23.948125271169282
False,21.50540798764432,23.992486560500303
False,21.53381374547381,24.03515752728847
False,21.562801570294646,24.076847848937263
False,21.592126194183756,24.11700268674941
False,21.62176895545134,24.15551236330801
